Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Tipo_Dado,Vendas_Previstas,Cenario_Pessimista,Cenario_Otimista
1,2010-02-05,1643691.0,0.0,5.727777777777779,2.572,211.0,8.106,Histórico,,,
1,2010-02-12,1641957.0,1.0,3.6166666666666654,2.548,211.0,8.106,Histórico,,,
1,2010-02-19,1611968.0,0.0,4.405555555555555,2.514,211.0,8.106,Histórico,,,
1,2010-02-26,1409728.0,0.0,8.127777777777778,2.561,211.0,8.106,Histórico,,,
1,2010-03-05,1554807.0,0.0,8.055555555555555,2.625,211.0,8.106,Histórico,,,
1,2010-03-12,1439542.0,0.0,14.327777777777776,2.667,211.0,8.106,Histórico,,,
1,2010-03-19,1472516.0,0.0,12.544444444444444,2.72,211.0,8.106,Histórico,,,
1,2010-03-26,1404430.0,0.0,10.805555555555557,2.732,211.0,8.106,Histórico,,,
1,2010-04-02,1594968.0,0.0,16.81666666666667,2.719,211.0,7.808,Histórico,,,
1,2010-04-09,1545419.0,0.0,18.811111111111114,2.77,211.0,7.808,Histórico,,,
1,2010-04-16,1466058.0,0.0,19.066666666666663,2.808,210.0,7.808,Histórico,,,
1,2010-04-23,1391256.0,0.0,18.244444444444447,2.795,210.0,7.808,Histórico,,,
1,2010-04-30,1425101.0,0.0,19.67222222222222,2.78,210.0,7.808,Histórico,,,
1,2010-05-07,1603955.0,0.0,22.52777777777778,2.835,210.0,7.808,Histórico,,,
1,2010-05-14,1494252.0,0.0,23.766666666666666,2.854,210.0,7.808,Histórico,,,
1,2010-05-21,1399662.0,0.0,24.688888888888886,2.826,211.0,7.808,Histórico,,,
1,2010-05-28,1432070.0,0.0,26.91111111111111,2.759,211.0,7.808,Histórico,,,
1,2010-06-04,1615525.0,0.0,27.049999999999997,2.705,211.0,7.808,Histórico,,,
1,2010-06-11,1542561.0,0.0,26.90555555555556,2.668,211.0,7.808,Histórico,,,
1,2010-06-18,1503284.0,0.0,28.950000000000003,2.637,211.0,7.808,Histórico,,,
1,2010-06-25,1422712.0,0.0,29.077777777777783,2.653,211.0,7.808,Histórico,,,
1,2010-07-02,1492418.0,0.0,27.17222222222222,2.669,211.0,7.787,Histórico,,,
1,2010-07-09,1546074.0,0.0,26.933333333333337,2.642,211.0,7.787,Histórico,,,
1,2010-07-16,1448939.0,0.0,28.41666666666667,2.623,211.0,7.787,Histórico,,,
1,2010-07-23,1385065.0,0.0,28.533333333333335,2.608,211.0,7.787,Histórico,,,
1,2010-07-30,1371987.0,0.0,27.68888888888889,2.64,211.0,7.787,Histórico,,,
1,2010-08-06,1605492.0,0.0,30.64444444444444,2.627,212.0,7.787,Histórico,,,
1,2010-08-13,1508238.0,0.0,30.555555555555557,2.692,212.0,7.787,Histórico,,,
1,2010-08-20,1513080.0,0.0,30.36111111111111,2.664,212.0,7.787,Histórico,,,
1,2010-08-27,1449143.0,0.0,29.56666666666667,2.619,212.0,7.787,Histórico,,,
1,2010-09-03,1540164.0,0.0,27.338888888888885,2.577,212.0,7.787,Histórico,,,
1,2010-09-10,1507461.0,1.0,25.938888888888886,2.565,211.0,7.787,Histórico,,,
1,2010-09-17,1430379.0,0.0,27.83888888888889,2.582,212.0,7.787,Histórico,,,
1,2010-09-24,1351791.0,0.0,27.188888888888886,2.624,212.0,7.787,Histórico,,,
1,2010-10-01,1453330.0,0.0,22.16111111111111,2.603,212.0,7.838,Histórico,,,
1,2010-10-08,1508240.0,0.0,17.73888888888889,2.633,212.0,7.838,Histórico,,,
1,2010-10-15,1459409.0,0.0,19.544444444444448,2.72,212.0,7.838,Histórico,,,
1,2010-10-22,1345454.0,0.0,21.033333333333335,2.725,212.0,7.838,Histórico,,,
1,2010-10-29,1384209.0,0.0,20.91111111111111,2.716,212.0,7.838,Histórico,,,
1,2010-11-05,1551659.0,0.0,14.855555555555558,2.689,212.0,7.838,Histórico,,,
1,2010-11-12,1494479.0,0.0,15.33888888888889,2.728,212.0,7.838,Histórico,,,
1,2010-11-19,1483784.0,0.0,10.783333333333331,2.771,212.0,7.838,Histórico,,,
1,2010-11-26,1955624.0,1.0,18.066666666666663,2.735,212.0,7.838,Histórico,,,
1,2010-12-03,1548034.0,0.0,9.594444444444447,2.708,212.0,7.838,Histórico,,,
1,2010-12-10,1682614.0,0.0,7.96111111111111,2.843,211.0,7.838,Histórico,,,
1,2010-12-17,1891035.0,0.0,9.911111111111113,2.869,211.0,7.838,Histórico,,,
1,2010-12-24,2387950.0,0.0,11.294444444444444,2.886,211.0,7.838,Histórico,,,
1,2010-12-31,1367320.0,1.0,9.127777777777778,2.943,211.0,7.838,Histórico,,,
1,2011-01-07,1444732.0,0.0,9.038888888888891,2.976,211.0,7.742,Histórico,,,
1,2011-01-14,1391014.0,0.0,1.8888888888888882,2.983,211.0,7.742,Histórico,,,
1,2011-01-21,1327405.0,0.0,6.688888888888888,3.016,212.0,7.742,Histórico,,,
1,2011-01-28,1316899.0,0.0,6.572222222222221,3.01,212.0,7.742,Histórico,,,
1,2011-02-04,1606630.0,0.0,5.7055555555555575,2.989,213.0,7.742,Histórico,,,
1,2011-02-11,1649615.0,1.0,2.438888888888889,3.022,213.0,7.742,Histórico,,,
1,2011-02-18,1686843.0,0.0,14.088888888888889,3.045,213.0,7.742,Histórico,,,
1,2011-02-25,1456800.0,0.0,17.166666666666668,3.065,214.0,7.742,Histórico,,,
1,2011-03-04,1636263.0,0.0,15.32222222222222,3.288,214.0,7.742,Histórico,,,
1,2011-03-11,1553192.0,0.0,11.97777777777778,3.459,214.0,7.742,Histórico,,,
1,2011-03-18,1576818.0,0.0,17.08888888888889,3.488,214.0,7.742,Histórico,,,
1,2011-03-25,1541102.0,0.0,21.094444444444445,3.473,215.0,7.742,Histórico,,,
1,2011-04-01,1495065.0,0.0,15.094444444444447,3.524,215.0,7.682,Histórico,,,
1,2011-04-08,1614259.0,0.0,19.91111111111111,3.622,215.0,7.682,Histórico,,,
